,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
560,Gryffin,Body Back (feat. Maia Wright) - Deniz Koyu Remix,257400,2020-06-16 14:47:00,0.489,0.739,8,-5.049,1,0.0397,0.0573,9.76e-06,0.105,0.472,125.003,6D72WFltGvVYuHMzQocBEY,4
562,Klaas,Call Me When You Need Me,205920,2020-06-16 14:55:00,0.73,0.434,11,-8.187,1,0.0497,0.323,0.0,0.18,0.817,178.956,0QfppqtzzFYz9GCQJPNlot,4
563,Jay Pryor,Finding Our Way,173258,2020-06-16 14:58:00,0.773,0.804,9,-6.408,1,0.102,0.0243,1.3e-05,0.347,0.65,124.034,0Uc2Bg05ybIP7eMu2U73O5,4
564,Midnight Kids,Serious (with Matthew Koma),182400,2020-06-16 15:01:00,0.53,0.763,4,-3.348,1,0.0367,0.242,0.0,0.117,0.226,100.002,1wjjc9SGlmzzXDI26gim3p,4
566,DJ Funsize,Find the Light,189375,2020-06-16 15:08:00,0.617,0.131,11,-12.775,1,0.0331,0.903,0.000536,0.105,0.394,129.31,7jhcBzFm4W2UpFPa9fZFlR,4
567,Avicii,Lonely Together (feat. Rita Ora),181812,2020-06-16 15:11:00,0.655,0.666,5,-5.309,1,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,75NhhYjHO43mvZgYtnXgti,4
568,Kygo,Born To Be Yours,193320,2020-06-16 15:15:00,0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,0WVAQaxrT0wsGEG4BCVSn2,4
569,M-22,First Time - Disco Fries Remix,207338,2020-06-16 15:18:00,0.761,0.727,8,-5.441,1,0.0458,0.0656,0.397,0.126,0.42,123.987,7FcT9XALvaUrqYm96ubb3b,4
570,ILLENIUM,In Your Arms (with X Ambassadors),220730,2020-06-16 15:22:00,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,70YPzqSEwJvAIQ6nMs1cjY,4
571,Breathe Carolina,My Love,144918,2020-06-16 15:25:00,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,4NeOWqHmlrGRuBvsLJC9rL,4
572,Zonderling,Lifetime,135555,2020-06-16 15:27:00,0.413,0.684,8,-2.878,1,0.0348,0.0012,0.0,0.16,0.33,129.975,19dNZyDyw00aKgr6S0Os6e,4
573,Mesto,Don't Worry (feat. Aloe Blacc),175098,2020-06-16 15:30:00,0.741,0.733,1,-4.572,0,0.0367,0.143,0.0,0.103,0.549,125.962,0KwlzQaySxzPkt0nELecnx,4
575,Red Square,The Word (Go There) - Original Mix,1003,2020-06-16 15:37:00,0.711,0.818,11,-2.836,0,0.195,0.139,1.74e-06,0.173,0.771,125.991,5FjbhxYZ0zrMSTZEsczC91,4
577,ayokay,Sleepless Nights (feat. Nightly),58259,2020-06-18 03:47:00,0.663,0.696,11,-5.994,1,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,4PUWpNtDejQwwa80LjvxXl,4
624,Great Good Fine Ok,Change,197343,2020-06-21 06:47:00,0.784,0.753,6,-4.099,0,0.213,0.438,0.0,0.167,0.532,116.959,4cBlIM5AjnQ74f52Dv7T5K,4
627,ayokay,Half Past You (feat. Future Jr.),174226,2020-06-21 06:57:00,0.537,0.597,7,-7.641,0,0.0718,0.59,1.14e-05,0.101,0.388,79.96,0ztHfh4CYFT1UmzTeHHIWL,4
628,Troye Sivan,Dance To This (feat. Ariana Grande),231846,2020-06-21 07:01:00,0.736,0.756,11,-7.099,1,0.047,0.00632,0.00569,0.106,0.712,117.015,2NjO87HyT80fsgejd3PLYW,4
630,SG Lewis,Flames (feat. Ruel),216765,2020-06-21 07:11:00,0.555,0.62,9,-5.822,0,0.118,0.0891,0.00306,0.107,0.371,193.924,4JiuLIWKkLH2iluzOhXh5Y,3
631,Greyson Chance,shut up,170363,2020-06-21 07:15:00,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,4
632,Shoffy,Cool Again,6418,2020-06-21 07:34:00,0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69e-06,0.361,0.773,90.007,5P3oaNpPDVLRJsL3152SEs,4
653,SEREBRO,Mi Mi Mi - Radio Edit,192857,2020-06-22 03:48:00,0.925,0.801,2,-2.106,1,0.0531,0.0133,0.726,0.0851,0.938,125.995,0pqCMHN3IVkBDlWAg0kiVa,4
708,Chris Classic,Witch Doctor,111359,2020-06-24 05:38:00,0.875,0.941,0,-6.438,1,0.0474,0.0972,0.000143,0.184,0.968,136.044,5YZuePCawcrg0DJrWovPu7,4
713,Alvin & The Chipmunks,"Turn Down For What - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",156617,2020-06-24 05:55:00,0.75,0.874,4,-5.126,1,0.0532,0.00358,0.614,0.35,0.301,100.01,4IH37Xf6K3mx5t4i4v4pFi,4
732,Alvin & The Chipmunks,"South Side - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",147573,2020-06-24 08:19:00,0.748,0.859,7,-4.258,1,0.0711,0.171,0.0162,0.132,0.595,95.96,6m0nBnButdba95K7gwLAsl,4
733,Alvin & The Chipmunks,"Iko Iko - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",120200,2020-06-24 08:22:00,0.751,0.867,7,-3.411,1,0.179,0.253,0.00419,0.0653,0.962,169.933,6beSXVbbvppuDsgD1pAZuG,4
734,Alvin & The Chipmunks,"Uptown Funk - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",182738,2020-06-24 08:42:00,0.773,0.836,6,-2.674,0,0.188,0.113,0.0168,0.305,0.679,114.98,6O5IJlhJtlgKMoNFzinZgY,4
781,Robin Schulz,Alane,1035,2020-06-29 02:01:00,0.581,0.799,3,-6.66,1,0.164,0.0419,9.43e-06,0.11,0.662,124.002,2u6Jm2klS4yvAlbSHlxUwI,4
788,Lauv,Love Somebody,142773,2020-06-29 02:28:00,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,7hR22TOX3RorxJPcsz5Wbo,4
789,Kesha,Children of the Revolution,155653,2020-06-29 02:31:00,0.538,0.652,2,-11.285,1,0.052,0.0465,0.0,0.0734,0.785,130.398,3P4uUs9X0cPw7rf37NTndV,4
791,Borgeous,Nowhere,153600,2020-06-29 02:38:00,0.452,0.767,9,-4.104,0,0.0348,0.385,0.0,0.203,0.557,77.024,25ztWl3oJ8EiYTXW7gn3Kz,4
792,NEFFEX,Worst Of You,137660,2020-06-29 02:40:00,0.741,0.466,4,-7.258,1,0.0357,0.558,0.0,0.0583,0.351,102.058,54iSfkh69fxhnSNrgvTEBp,4
793,Jake Miller,SAVED ME - Acoustic,182796,2020-06-29 02:44:00,0.446,0.415,4,-5.468,1,0.0284,0.793,0.0,0.0676,0.359,135.257,6KDIJX9YKZqWHjiz5HekEU,4
817,Cheat Codes,Heaven,207404,2020-06-29 13:43:00,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006,1HXy5I3HTWq8OvxCn0z7G7,4
