,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Someone Save Me,0.578,0.652,0,-6.518,1,0.161,0.717,1.35e-06,0.116,0.41,180.416,audio_features,7Hhyd8Qcm5jMDvj1YCpMhW,spotify:track:7Hhyd8Qcm5jMDvj1YCpMhW,https://api.spotify.com/v1/tracks/7Hhyd8Qcm5jMDvj1YCpMhW,https://api.spotify.com/v1/audio-analysis/7Hhyd8Qcm5jMDvj1YCpMhW,230199,3
Strawberries & Cigarettes,0.578,0.537,9,-8.676,1,0.0832,0.162,0,0.076,0.25,83.909,audio_features,3afkJSKX0EAMsJXTZnDXXJ,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,https://api.spotify.com/v1/tracks/3afkJSKX0EAMsJXTZnDXXJ,https://api.spotify.com/v1/audio-analysis/3afkJSKX0EAMsJXTZnDXXJ,201539,4
On Me (feat. Ava Max) - From 'SCOOB!' The Album,0.548,0.721,8,-4.466,1,0.0472,0.0119,0,0.216,0.594,177.918,audio_features,4ejNoyrhgjrioqJbgTNPu3,spotify:track:4ejNoyrhgjrioqJbgTNPu3,https://api.spotify.com/v1/tracks/4ejNoyrhgjrioqJbgTNPu3,https://api.spotify.com/v1/audio-analysis/4ejNoyrhgjrioqJbgTNPu3,164683,4
Instruction (feat. Demi Lovato & Stefflon Don),0.767,0.929,9,-3.08,0,0.185,0.102,0,0.0921,0.923,121.082,audio_features,6yf3MxEOScNBTYCHOAIiNQ,spotify:track:6yf3MxEOScNBTYCHOAIiNQ,https://api.spotify.com/v1/tracks/6yf3MxEOScNBTYCHOAIiNQ,https://api.spotify.com/v1/audio-analysis/6yf3MxEOScNBTYCHOAIiNQ,165467,4
Say It All,0.622,0.739,6,-4.685,1,0.0422,0.322,0,0.111,0.687,121.951,audio_features,57CyqjHnj1E9dNysbxLysv,spotify:track:57CyqjHnj1E9dNysbxLysv,https://api.spotify.com/v1/tracks/57CyqjHnj1E9dNysbxLysv,https://api.spotify.com/v1/audio-analysis/57CyqjHnj1E9dNysbxLysv,207251,4
If You Wanna Be Loved - John Gibbons Remix,0.68,0.903,10,-4.728,1,0.0425,0.244,1.59e-06,0.274,0.602,117.997,audio_features,2p2GsIcE2GK25ysS0xDY6V,spotify:track:2p2GsIcE2GK25ysS0xDY6V,https://api.spotify.com/v1/tracks/2p2GsIcE2GK25ysS0xDY6V,https://api.spotify.com/v1/audio-analysis/2p2GsIcE2GK25ysS0xDY6V,211320,4
Want U Back,0.694,0.891,9,-2.94,1,0.0949,0.0562,0,0.561,0.563,97.939,audio_features,6E11E0lT5Zy7yb6iT3y8DN,spotify:track:6E11E0lT5Zy7yb6iT3y8DN,https://api.spotify.com/v1/tracks/6E11E0lT5Zy7yb6iT3y8DN,https://api.spotify.com/v1/audio-analysis/6E11E0lT5Zy7yb6iT3y8DN,214573,4
Keeping Score (feat. Kelly Clarkson),0.567,0.622,4,-4.29,1,0.0317,0.225,0,0.138,0.336,135.97,audio_features,57KKY8gqUqqS3YXYotkxS5,spotify:track:57KKY8gqUqqS3YXYotkxS5,https://api.spotify.com/v1/tracks/57KKY8gqUqqS3YXYotkxS5,https://api.spotify.com/v1/audio-analysis/57KKY8gqUqqS3YXYotkxS5,220213,4
Anti-Everything,0.729,0.651,1,-6.083,1,0.0412,0.054,0,0.132,0.0373,92.03,audio_features,0JM5vtH3ZpJh97iWc6yvca,spotify:track:0JM5vtH3ZpJh97iWc6yvca,https://api.spotify.com/v1/tracks/0JM5vtH3ZpJh97iWc6yvca,https://api.spotify.com/v1/audio-analysis/0JM5vtH3ZpJh97iWc6yvca,166960,4
Girl in the Mirror,0.33,0.273,10,-7.914,1,0.0293,0.814,0,0.113,0.317,78.103,audio_features,6t0PM7tXvdqEHKYHtEDl5H,spotify:track:6t0PM7tXvdqEHKYHtEDl5H,https://api.spotify.com/v1/tracks/6t0PM7tXvdqEHKYHtEDl5H,https://api.spotify.com/v1/audio-analysis/6t0PM7tXvdqEHKYHtEDl5H,165100,3
Write On Me,0.441,0.692,7,-5.427,0,0.128,0.359,1.94e-06,0.161,0.475,189.879,audio_features,0UnhE0UhBTBwtnzEXzP0it,spotify:track:0UnhE0UhBTBwtnzEXzP0it,https://api.spotify.com/v1/tracks/0UnhE0UhBTBwtnzEXzP0it,https://api.spotify.com/v1/audio-analysis/0UnhE0UhBTBwtnzEXzP0it,219560,4
Scars To Your Beautiful,0.319,0.739,0,-5.74,1,0.272,0.0285,0,0.111,0.449,194.169,audio_features,42ydLwx4i5V49RXHOozJZq,spotify:track:42ydLwx4i5V49RXHOozJZq,https://api.spotify.com/v1/tracks/42ydLwx4i5V49RXHOozJZq,https://api.spotify.com/v1/audio-analysis/42ydLwx4i5V49RXHOozJZq,230227,4
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,0.678,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,audio_features,3TjLsDgL0bTbSQIF6M5Ki8,spotify:track:3TjLsDgL0bTbSQIF6M5Ki8,https://api.spotify.com/v1/tracks/3TjLsDgL0bTbSQIF6M5Ki8,https://api.spotify.com/v1/audio-analysis/3TjLsDgL0bTbSQIF6M5Ki8,189375,4
As Long As I'm With You,0.575,0.45,4,-9.306,1,0.0259,0.531,6.59e-05,0.124,0.263,132.039,audio_features,5LrN7yUQAzvthd4QujgPFr,spotify:track:5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/tracks/5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/audio-analysis/5LrN7yUQAzvthd4QujgPFr,242485,4
High On Life (feat. Bonn),0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,audio_features,4ut5G4rgB1ClpMTMfjoIuy,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,230762,4
